------Początek: 2025-06-04 22:12:30------
Time: 22:12:30.492 | Pos: (198,31, 226,30) | Vel: (4,31, 1,34)
Time: 22:12:30.496 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.496 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.496 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.496 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.496 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.496 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
Time: 22:12:30.497 | Pos: (202,62, 227,64) | Vel: (4,31, 1,34)
Time: 22:12:30.497 | Pos: (212,92, 266,90) | Vel: (2,72, 4,49)
Time: 22:12:30.497 | Pos: (251,03, 211,51) | Vel: (0,24, 0,74)
