------Początek: 2025-06-04 22:16:11------
Time: 22:16:11.674 | Thread: 10 | Pos: (210,01, 185,55) | Vel: (1,68, 4,44)
Time: 22:16:11.678 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.678 | Thread: 10 | Pos: (191,86, 240,97) | Vel: (1,19, 3,59)
Time: 22:16:11.678 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.678 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.678 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.678 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.680 | Thread: 10 | Pos: (211,69, 189,99) | Vel: (1,68, 4,44)
Time: 22:16:11.680 | Thread: 10 | Pos: (198,72, 279,07) | Vel: (4,83, 3,84)
Time: 22:16:11.680 | Thread: 10 | Pos: (193,05, 244,56) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
Time: 22:16:11.780 | Thread: 10 | Pos: (200,32, 266,47) | Vel: (1,19, 3,59)
Time: 22:16:11.780 | Thread: 10 | Pos: (221,93, 217,11) | Vel: (1,68, 4,44)
Time: 22:16:11.780 | Thread: 10 | Pos: (228,17, 302,50) | Vel: (4,83, 3,84)
